Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
161,38,2,65,6,Some Random Commen with Id 161
162,38,2,37,6,Some Random Commen with Id 162
163,38,2,72,9,Some Random Commen with Id 163
164,38,2,70,5,Some Random Commen with Id 164
165,38,2,186,0,Some Random Commen with Id 165
166,39,5,107,2,Some Random Commen with Id 166
167,39,5,149,0,Some Random Commen with Id 167
168,39,5,142,7,Some Random Commen with Id 168
169,39,5,89,3,Some Random Commen with Id 169
170,39,5,77,9,Some Random Commen with Id 170
171,39,5,84,2,Some Random Commen with Id 171
